fid,Id,codig,POINT_X,POINT_Y,UCS_F,pH,N,MO,K,Ca,Mg,CIC,P,Fe,Mn,Zn,Cu,S,B,Ar,L,A,Clasif,Al,asnm,C,Cobertura,Tipo_Cober,dem1,dem_aspect1,dem_aspect_slope1
106,0,106,882551.301101,1086591.56594,SEef1,4.9,0.55,15,0.16,0.4,0.3,26,14,105,51,6.5,2.6,2.2,0.07,18,33,49,Franco,1.5,1971.83117676,7.6,Guadua,Bosque,1966.29638671875,276.255859375,21.6632251739502
107,0,107,882671.301101,1086591.56594,SEef1,5.3,0.49,12.9,0.11,1.13,0.33,23,11,161,26,7.6,4,7.8,0.02,16,25,59,FrancoArenoso,0.5,1969.71386719,7,Guadua_Nativo,Bosque,1958.65441894531,101.643836975098,34.7704925537109
108,0,108,882611.301101,1086621.56594,SEef1,5,0.63,18,0.16,0.19,0.24,26,17,155,15,3,2,3.2,0.05,18,27,55,FrancoArenoso,1.2,1978.88037109,8.5,Germoplasma,Silvopastoril,1973.26428222656,243.821914672852,9.12970638275146
109,0,109,882431.301101,1086621.56594,SEef1,5.2,0.61,17.2,0.35,0.2,0.43,28,14,120,33,4.4,3,4,0.07,16,27,57,FrancoArenoso,1,1982.75427246,8.3,Pino_Romeron,Silvopastoril,1976.71228027344,79.6842193603516,12.945200920105
110,0,110,882461.301101,1086651.56594,SEef1,5.3,0.67,20.1,0.19,0.42,0.35,32,11,122,29,3.4,2.1,3.8,0.03,18,27,55,FrancoArenoso,1.3,1974.89147949,9.1,Progenie,Silvopastoril,1968.94104003906,289.87158203125,22.5522060394287
111,0,111,882371.301101,1086681.56594,SIde,5.5,0.57,15.9,0.4,0.93,0.71,28,15,146,44,6.9,2.8,1.9,0.3,16,27,57,FrancoArenoso,0.6,1965.52600098,7.9,Pino_Romeron,Silvopastoril,1960.04870605469,22.1011047363281,21.7733612060547
112,0,112,882311.301101,1086711.56594,SIde,5,0.6,16.7,0.09,0.16,0.2,38,9,134,26,3.8,2,1.1,0.1,20,25,55,FrancoArenoso,1.1,1952.77429199,8.1,Pino_Romeron,Silvopastoril,1949.65344238281,300.198974609375,26.437068939209
113,0,113,882431.301101,1086711.56594,SIde,5,0.63,18.2,0.47,0.51,0.61,35,22,200,30,6.8,3,8.1,0.17,20,25,55,FrancoArenoso,1.2,1952.12268066,8.6,Pino_Romeron,Silvopastoril,1950.14831542969,1.55347442626953,15.5613613128662
114,0,114,882491.301101,1086711.56594,SEef1,5,0.55,15.1,0.34,0.79,0.5,26,22,119,53,5.5,3.3,5.1,0.2,22,32,46,Franco,1.2,1948.76672363,7.7,Pino_Romeron,Silvopastoril,1947.38098144531,15.9319000244141,22.8612079620361
115,0,115,882671.301101,1086681.56594,SEef1,4.8,0.61,17.2,0.09,0.16,0.14,33,17,126,19,3.3,3.6,2.4,0.1,22,26,52,FrancoArcillosoArenoso,1.7,1952.54833984,8.3,Pino_Romeron,Silvopastoril,1947.69958496094,35.0541915893555,29.6841850280762
